name,severity,cloudProvider,targetNativeTypes,matcherTypes
CloudFront distribution should use SNI to serve HTTPS requests,LOW,AWS,cloudfront,CLOUD
GuardDuty runtime monitoring should be enabled,MEDIUM,AWS,guardduty,"CLOUD, TERRAFORM"
GuardDuty EKS add-on Management should be enabled,LOW,AWS,guardduty,"CLOUD, TERRAFORM"
CloudFront distribution should use a custom SSL certificate,MEDIUM,AWS,cloudfront,"CLOUD, CLOUD_FORMATION, TERRAFORM"
SNS Topic should be encrypted with a customer-managed key,MEDIUM,AWS,sns,"CLOUD, TERRAFORM, CLOUD_FORMATION"
IAM policy should not have full administrative access,MEDIUM,AWS,"customerManagedPolicy, inlinePolicy","CLOUD, CLOUD_FORMATION, TERRAFORM"
HTTP API Gateway routes should require authorization,MEDIUM,AWS,apiGatewayv2,"CLOUD, TERRAFORM"
IAM users unused for over 90 days should be deleted,INFORMATIONAL,AWS,user,CLOUD
DB Cluster Snapshot should be encrypted,MEDIUM,AWS,rds#clustersnapshot,"CLOUD, TERRAFORM"
CloudFront distribution S3 Origins should use origin access control,MEDIUM,AWS,cloudfront,"CLOUD, TERRAFORM"
EKS Cluster secrets encryption should be enabled,MEDIUM,AWS,cluster,"CLOUD, TERRAFORM"
Cognito User Pool advanced security should be enabled,MEDIUM,AWS,userpool,CLOUD
WAF Web ACL Logging should be enabled,LOW,AWS,WAF/WebACL,"CLOUD, TERRAFORM"
CloudFront traffic between CloudFront and viewers should use HTTPS only,MEDIUM,AWS,cloudfront,"CLOUD, CLOUD_FORMATION, TERRAFORM"
Default IAM role with low privileges leads to lateral movement,INFORMATIONAL,AWS,role,CLOUD
WAF Web ACL AWS-managed rule group 'Anonymous IP list' should be included,MEDIUM,AWS,WAF/WebACL,CLOUD
VPC should have subnets attached,MEDIUM,AWS,vpc,"CLOUD, CLOUD_FORMATION"
GuardDuty Detector RDS Protection should be enabled,LOW,AWS,guardduty,"CLOUD, TERRAFORM"
Access keys should not be set up during the initial IAM User setup for all IAM Users that have a console password,MEDIUM,AWS,user,"CLOUD, TERRAFORM"
GuardDuty Detector Lambda Protection should be enabled,LOW,AWS,guardduty,CLOUD
Backup vault access policy should prevent the deletion of backups,MEDIUM,AWS,backupvault,"CLOUD, TERRAFORM"
Cognito user pool MFA should be enabled,MEDIUM,AWS,userpool,"CLOUD, CLOUD_FORMATION, TERRAFORM"
ECS Container HealthCheck should be configured,LOW,AWS,ecs#containerinstance,"CLOUD, CLOUD_FORMATION"
EC2 Security Group should not allow access to a wide private network,HIGH,AWS,securityGroup,"CLOUD, TERRAFORM"
EFS automatic backups should be enabled,LOW,AWS,elasticFileSystem,CLOUD
CloudFront distributions should not allow access to S3 data at its origin,MEDIUM,AWS,cloudfront,CLOUD
GuardDuty Detector Malware Protection should be enabled,LOW,AWS,guardduty,CLOUD
WAF Web ACL default action is set to allow requests that do not match any rules,INFORMATIONAL,AWS,WAF/WebACL,"CLOUD, CLOUD_FORMATION"
Cognito user pool should not allow anyone to sign themselves up via an app,MEDIUM,AWS,userpool,"CLOUD, TERRAFORM"
SageMaker Notebook instance should be encrypted using a KMS Key,MEDIUM,AWS,sagemaker#notebookinstanceupdated,"CLOUD, CLOUD_FORMATION, TERRAFORM"
S3 Bucket ACL should not allow global 'READ_ACP' permission,HIGH,AWS,bucket,"CLOUD, TERRAFORM"
GuardDuty Detector S3 Protection should be enabled,LOW,AWS,guardduty,"CLOUD, TERRAFORM"
ECS Service should have at least one load balancer attached,LOW,AWS,ecs#service,"CLOUD, CLOUD_FORMATION"
ECS Container root filesystems should be limited to read-only access,MEDIUM,AWS,ecs#containerinstance,CLOUD
GuardDuty EKS Audit Logs should be enabled,LOW,AWS,guardduty,CLOUD
Test for Alex,MEDIUM,AWS,guardduty,CLOUD
S3 Bucket policy should not allow all actions,MEDIUM,AWS,bucket,"CLOUD, TERRAFORM"
CodeBuild project should be encrypted with a customer-managed key,MEDIUM,AWS,codebuild#project,"CLOUD, CLOUD_FORMATION, TERRAFORM, ANSIBLE"
Direct Internet access should be disabled for SageMaker Notebook Instance,MEDIUM,AWS,sagemaker#notebookinstanceupdated,"CLOUD, TERRAFORM, CLOUD_FORMATION"
Route 53 domains should be locked,MEDIUM,AWS,domain,"CLOUD, TERRAFORM"
EC2 instance after a SSM association should have association compliance status of COMPLIANT-Test,INFORMATIONAL,AWS,virtualMachine,CLOUD
Resource policy should not allow all actions for all principals,HIGH,AWS,resourcePolicy,CLOUD
Classic Load Balancer access logging should be enabled,MEDIUM,AWS,loadBalancerv1,"CLOUD, CLOUD_FORMATION, TERRAFORM"
Classic Load Balancer listeners should use SSL/HTTPS,MEDIUM,AWS,loadBalancerv1,"CLOUD, CLOUD_FORMATION, TERRAFORM"
S3 Bucket policy should not allow sensitive permissions to another AWS account,MEDIUM,AWS,bucket,CLOUD
Classic Load Balancer is internet-facing and should be reviewed regularly for security compliance purposes,INFORMATIONAL,AWS,loadBalancerv1,"CLOUD, CLOUD_FORMATION, TERRAFORM"
SES identity DKIM signatures should be enabled,MEDIUM,AWS,"sesEmailAddressIdentity, sesDomainIdentity","CLOUD, TERRAFORM"
SageMaker Notebook instance should be placed in a VPC and a subnet,MEDIUM,AWS,sagemaker#notebookinstanceupdated,"CLOUD, TERRAFORM, CLOUD_FORMATION"
ElastiCache (Redis OSS) cluster should have Redis AUTH enabled,MEDIUM,AWS,elastiCache/Redis/cluster,"CLOUD, TERRAFORM"
CloudTrail logging should be enabled in all regions - Account level,HIGH,AWS,cloudtrail,"CLOUD, CLOUD_FORMATION, TERRAFORM"
Root account access keys should not exist,MEDIUM,AWS,rootUser,"CLOUD, CLOUD_FORMATION"
ECS Service launch type is set to Fargate,INFORMATIONAL,AWS,ecs#service,CLOUD
ElastiCache Cluster should have Log Delivery to CloudWatch enabled,MEDIUM,AWS,"elastiCache/Redis/cluster, elastiCache/Memcached/cluster","CLOUD, TERRAFORM"
Classic Load Balancer cross-zone load balancing should be enabled,LOW,AWS,loadBalancerv1,"CLOUD, TERRAFORM"
Lambda policy should prohibit public access,MEDIUM,AWS,resourcePolicy,"CLOUD, ANSIBLE, CLOUD_FORMATION, TERRAFORM"
DynamoDB Table auto scaling should be enabled,LOW,AWS,dynamoDB/table,"CLOUD, TERRAFORM"
Classic Load Balancer should have connection draining enabled,LOW,AWS,loadBalancerv1,"CLOUD, TERRAFORM"
Root account should not have active access keys,MEDIUM,AWS,rootUser,"CLOUD, TERRAFORM"
ECS Service 'Auto-assign Public IP' should be disabled,LOW,AWS,ecs#service,"CLOUD, TERRAFORM"
"ACM certificate should not be invalid, failed, or pending validation",LOW,AWS,acm#certificate,CLOUD
Root account usage should be reduced as possible,MEDIUM,AWS,rootUser,CLOUD
IAM password policy should require at least one symbol,LOW,AWS,account,"CLOUD, TERRAFORM, CLOUD_FORMATION"
CloudTrail trail is configured with S3 data events,INFORMATIONAL,AWS,cloudtrail,CLOUD
ElastiCache cluster should not use the default port,MEDIUM,AWS,"elastiCache/Redis/cluster, elastiCache/Memcached/cluster","CLOUD, ANSIBLE, TERRAFORM, CLOUD_FORMATION"
WAF Web ACL AWS-managed rule group 'Known bad inputs' should be included,HIGH,AWS,WAF/WebACL,CLOUD
IAM password policy should require at least one number,LOW,AWS,account,"CLOUD, TERRAFORM, CLOUD_FORMATION"
EFS is managed by Amazon SageMaker,INFORMATIONAL,AWS,elasticFileSystem,CLOUD
Elastic Beanstalk Application environment should have enhanced health reporting enabled,LOW,AWS,elasticbeanstalk#application,"CLOUD, TERRAFORM"
IAM password policy should require at least one lowercase letter,LOW,AWS,account,"CLOUD, TERRAFORM, CLOUD_FORMATION"
S3 Bucket should prohibit public write access,HIGH,AWS,bucket,CLOUD
IAM policy should not allow all KMS actions,MEDIUM,AWS,"inlinePolicy, customerManagedPolicy","CLOUD, TERRAFORM"
IAM password policy should require at least one uppercase letter,LOW,AWS,account,"CLOUD, CLOUD_FORMATION, TERRAFORM"
IAM Identity Center user Permission set Session Duration should not be longer than 1 hour,MEDIUM,AWS,ssoadmin#permissionSet,"CLOUD, TERRAFORM"
IAM password policy should allow users to change their passwords,LOW,AWS,account,"CLOUD, TERRAFORM, ANSIBLE"
CloudTrail trail status should be logging,LOW,AWS,cloudtrail,"CLOUD, CLOUD_FORMATION, ANSIBLE, TERRAFORM"
ElastiCache (Redis OSS) cluster in-transit encryption should be enabled,MEDIUM,AWS,elastiCache/Redis/cluster,"CLOUD, TERRAFORM, CLOUD_FORMATION"
ElastiCache (Redis OSS) cluster should have Multi-AZ deployment enabled,MEDIUM,AWS,elastiCache/Redis/cluster,CLOUD
SNS Topic policy should not allow all principals,MEDIUM,AWS,sns,"CLOUD, TERRAFORM, CLOUD_FORMATION, ANSIBLE"
GuardDuty Detector should be enabled,LOW,AWS,guardduty,"CLOUD, CLOUD_FORMATION, TERRAFORM"
IAM users unused for over 365 days should be deleted,INFORMATIONAL,AWS,user,CLOUD
ACM certificate domain name should not contain a wildcard,LOW,AWS,acm#certificate,"CLOUD, CLOUD_FORMATION, TERRAFORM"
Lambda function URL Auth type should not be configured to NONE,HIGH,AWS,lambda,"CLOUD, TERRAFORM"
Config should record all resources,MEDIUM,AWS,config,CLOUD
Database instance should be encrypted with a customer-managed key,MEDIUM,AWS,"rds/AmazonAuroraMySQL/instance, rds/AmazonAuroraPostgreSQL/instance, rds/AmazonDocDB/instance, rds/MSSQLServer/instance, rds/MySQL/instance, rds/Cluster/MySQL/instance, rds/AmazonNeptune/instance, rds/Oracle/instance, rds/PostgreSQL/instance, rds/Cluster/PostgreSQL/instance, rds/MariaDB/instance","CLOUD, CLOUD_FORMATION, TERRAFORM"
EKS Cluster should not use a deprecated authentication method,MEDIUM,AWS,cluster,CLOUD
CloudFront should enforce HTTPS traffic between the distribution and origins,MEDIUM,AWS,cloudfront,"CLOUD, CLOUD_FORMATION, TERRAFORM"
IAM password policy should expire passwords within 90 days,LOW,AWS,account,"CLOUD, TERRAFORM"
SNS Topic policy should not be overly permissive for publishing,MEDIUM,AWS,sns,"CLOUD, TERRAFORM"
S3 Bucket policy should not allow 'list' actions for all principals,HIGH,AWS,bucket,"CLOUD, TERRAFORM, CLOUD_FORMATION"
IAM Group should not have inline policies,MEDIUM,AWS,group,"CLOUD, CLOUD_FORMATION"
Kinesis Data Firehose encryption should be enabled,MEDIUM,AWS,kinesisDataFirehose,"CLOUD, TERRAFORM"
Classic Load Balancer should be associated with a registered EC2 instance,LOW,AWS,loadBalancerv1,"CLOUD, TERRAFORM"
IAM password policy should be enabled for account,LOW,AWS,account,"CLOUD, TERRAFORM"
Application Load Balancer HTTPS listeners should use TLS version 1.3,MEDIUM,AWS,loadBalancerv2/application,CLOUD
RDS DB instance security and access logs should be published to CloudWatch,MEDIUM,AWS,"rds/Oracle/instance, rds/AmazonAuroraPostgreSQL/instance, rds/MySQL/instance, rds/Cluster/MySQL/instance, rds/MSSQLServer/instance, rds/AmazonAuroraMySQL/instance, rds/MariaDB/instance, rds/PostgreSQL/instance, rds/Cluster/PostgreSQL/instance","CLOUD, TERRAFORM"
S3 Bucket policy should not allow 'put' actions for all principals,HIGH,AWS,bucket,"CLOUD, ANSIBLE, CLOUD_FORMATION, TERRAFORM"
Redshift cluster should not use the default port,MEDIUM,AWS,redshift,"CLOUD, TERRAFORM, ANSIBLE, CLOUD_FORMATION"
SNS Topic policy should not be overly permissive for subscription,MEDIUM,AWS,sns,"CLOUD, TERRAFORM"
RDS instance should use the latest engine version,LOW,AWS,"rds/MySQL/instance, rds/AmazonAuroraPostgreSQL/instance, rds/Oracle/instance, rds/PostgreSQL/instance, rds/Cluster/MySQL/instance, rds/MSSQLServer/instance, rds/Cluster/PostgreSQL/instance, rds/AmazonAuroraMySQL/instance, rds/MariaDB/instance","CLOUD, TERRAFORM"
Auto Scaling Group associated with a load balancer should use load balancer health checks,LOW,AWS,autoScalingGroup,"CLOUD, TERRAFORM"
Lambda function in a VPC should operate in multiple Availability Zones,LOW,AWS,lambda,CLOUD
RDS instance default endpoint port should not be used,MEDIUM,AWS,"rds/AmazonAuroraMySQL/instance, rds/MariaDB/instance, rds/Oracle/instance, rds/Cluster/MySQL/instance, rds/AmazonAuroraPostgreSQL/instance, rds/Cluster/PostgreSQL/instance, rds/MySQL/instance, rds/MSSQLServer/instance, rds/PostgreSQL/instance","CLOUD, TERRAFORM, CLOUD_FORMATION, ANSIBLE"
Redshift Cluster automatic snapshots should be enabled and have an adequate retention period,MEDIUM,AWS,redshift,"CLOUD, TERRAFORM"
ElastiCache for Redis replication group encryption at rest should be enabled,MEDIUM,AWS,elastiCache/Redis/cluster,"CLOUD, TERRAFORM"
Redshift Cluster default database name should not be used,MEDIUM,AWS,redshift,"CLOUD, TERRAFORM"
Config log files should be delivered without failures,MEDIUM,AWS,config,CLOUD
S3 Access Point should not allow access from the internet,MEDIUM,AWS,s3AccessPoint,CLOUD
WAF Web ACL rules should limit requests size to be lower than 8192 bytes,MEDIUM,AWS,WAF/WebACL,CLOUD
Kinesis Data Stream should have an adequate data retention period,LOW,AWS,kinesis,CLOUD
Redshift Cluster enhanced VPC routing should be enabled,MEDIUM,AWS,redshift,"CLOUD, TERRAFORM"
ElastiCache (Redis OSS) cluster at-rest encryption should be enabled,MEDIUM,AWS,elastiCache/Redis/cluster,"CLOUD, TERRAFORM, CLOUD_FORMATION"
ElastiCache Cluster default subnet group should not be used,MEDIUM,AWS,"elastiCache/Redis/cluster, elastiCache/Memcached/cluster","CLOUD, TERRAFORM"
ElastiCache for Redis replication group encryption in transit should be enabled,MEDIUM,AWS,elastiCache/Redis/cluster,"CLOUD, TERRAFORM"
Disabled KMS key should be safely deleted,INFORMATIONAL,AWS,encryptionKey,"CLOUD, ANSIBLE, TERRAFORM, CLOUD_FORMATION"
SES domain identity should be verified,LOW,AWS,sesDomainIdentity,CLOUD
Redshift cluster user activity logs should be enabled,LOW,AWS,redshift,"CLOUD, TERRAFORM"
Redshift cluster connection logs should be enabled,LOW,AWS,redshift,"CLOUD, CLOUD_FORMATION, TERRAFORM"
Redshift cluster FIPS-compliant SSL connection should be enabled,MEDIUM,AWS,redshift,"CLOUD, TERRAFORM"
Database instance backup retention period should be at least a week,MEDIUM,AWS,"rds/AmazonAuroraMySQL/instance, rds/AmazonAuroraPostgreSQL/instance, rds/AmazonDocDB/instance, rds/MSSQLServer/instance, rds/MySQL/instance, rds/Cluster/MySQL/instance, rds/AmazonNeptune/instance, rds/Oracle/instance, rds/PostgreSQL/instance, rds/Cluster/PostgreSQL/instance, rds/MariaDB/instance","CLOUD, CLOUD_FORMATION, TERRAFORM"
Kinesis should enforce server-side encryption,MEDIUM,AWS,kinesis,"CLOUD, TERRAFORM, ANSIBLE, CLOUD_FORMATION"
SES receipt rule set should enable malware and spam scanning on received messages,MEDIUM,AWS,sesEmailAddressIdentity,CLOUD
EventBridge custom event bus should have a resource-based policy,MEDIUM,AWS,events#eventbus,CLOUD
S3 Bucket should not be accessible to any authenticated user,MEDIUM,AWS,bucket,"CLOUD, TERRAFORM"
Auto Scaling Group launch configuration should use IMDSv2,HIGH,AWS,autoScalingGroup,"CLOUD, TERRAFORM"
Auto Scaling Group should use EC2 launch templates,LOW,AWS,autoScalingGroup,"CLOUD, TERRAFORM"
CloudFormation Stack should not drift from the template configuration,MEDIUM,AWS,cloudformation#stack,CLOUD
RDS instance enhanced monitoring should be enabled,LOW,AWS,"rds/Cluster/MySQL/instance, rds/PostgreSQL/instance, rds/AmazonAuroraPostgreSQL/instance, rds/MySQL/instance, rds/Cluster/PostgreSQL/instance, rds/AmazonAuroraMySQL/instance, rds/Oracle/instance, rds/MariaDB/instance, rds/MSSQLServer/instance","CLOUD, TERRAFORM"
Cognito identity pool should not allow unauthenticated guest access,HIGH,AWS,cognito-identity#identitypool,"CLOUD, TERRAFORM"
S3 Bucket ACL should not allow global 'WRITE' access,HIGH,AWS,bucket,"CLOUD, TERRAFORM"
Elastic Load Balancer should span multiple Availability Zones,LOW,AWS,"loadBalancerv2/application, loadBalancerv1, loadBalancerv2/network, loadBalancerv2/gateway",CLOUD
ElastiCache (Redis OSS) cluster replication group automatic failover should be enabled,LOW,AWS,elastiCache/Redis/cluster,"CLOUD, TERRAFORM"
S3 Bucket ACL should not allow read access to any authenticated user,MEDIUM,AWS,bucket,"CLOUD, TERRAFORM, ANSIBLE, CLOUD_FORMATION"
Redshift Cluster default admin username should not be used,MEDIUM,AWS,redshift,"CLOUD, TERRAFORM"
Aurora Cluster IAM authentication should be enabled,MEDIUM,AWS,"rds/AmazonAuroraMySQL/cluster, rds/AmazonAuroraPostgreSQL/cluster","CLOUD, CLOUD_FORMATION, TERRAFORM"
AppSync API WAF firewall should be enabled,MEDIUM,AWS,appsync#apis,CLOUD
AppSync API visibility should be private,MEDIUM,AWS,appsync#apis,CLOUD
S3 Bucket policy should not allow 'delete' actions for all principals,HIGH,AWS,bucket,"CLOUD, CLOUD_FORMATION, TERRAFORM"
RDS Aurora cluster multi-availability zone should be enabled,MEDIUM,AWS,"rds/AmazonAuroraPostgreSQL/cluster, rds/AmazonAuroraMySQL/cluster","CLOUD, TERRAFORM"
RDS Cluster deletion protection should be enabled,MEDIUM,AWS,"rds/AmazonAuroraMySQL/cluster, rds/MySQL/cluster, clusterpg, rds/AmazonAuroraPostgreSQL/cluster","CLOUD, TERRAFORM"
CloudWatch Metric Filter Alarm 'FilterPattern' is listed,INFORMATIONAL,AWS,metricfilteralarm,CLOUD
Elastic Beanstalk Application environment logs should be uploaded to S3,LOW,AWS,elasticbeanstalk#application,"CLOUD, TERRAFORM"
SQS Queue policy should not allow access to all principals,MEDIUM,AWS,sqs,"CLOUD, CLOUD_FORMATION, ANSIBLE, TERRAFORM"
Transit Gateway 'Auto accept shared attachments' option should be disabled,MEDIUM,AWS,transitGateway,"CLOUD, TERRAFORM"
IAM Role is using IAM Roles Anywhere service,INFORMATIONAL,AWS,role,"CLOUD, TERRAFORM"
Elastic Beanstalk Application environment logs should be published to CloudWatch,LOW,AWS,elasticbeanstalk#application,"CLOUD, TERRAFORM"
ECS Task Definition should not be configured with a privileged container,MEDIUM,AWS,taskDefinition,"CLOUD, TERRAFORM"
WAF Web ACL should have at least one rule or rule group,MEDIUM,AWS,WAF/WebACL,CLOUD
SageMaker Model Network Isolation should not be disabled,MEDIUM,AWS,sagemaker#model,"CLOUD, TERRAFORM"
Elastic Beanstalk Application environment notifications should be configured,LOW,AWS,elasticbeanstalk#application,"CLOUD, TERRAFORM"
S3 Bucket policy should not allow all actions to all principals,HIGH,AWS,bucket,"CLOUD, TERRAFORM, CLOUD_FORMATION, ANSIBLE"
AppSync API logging should be enabled,MEDIUM,AWS,appsync#apis,"CLOUD, TERRAFORM"
Database instance should not be publicly accessible,HIGH,AWS,"rds/AmazonAuroraMySQL/instance, rds/AmazonAuroraPostgreSQL/instance, rds/AmazonDocDB/instance, rds/MSSQLServer/instance, rds/MySQL/instance, rds/Cluster/MySQL/instance, rds/Oracle/instance, rds/PostgreSQL/instance, rds/Cluster/PostgreSQL/instance, rds/MariaDB/instance, rds/AmazonNeptune/instance","CLOUD, CLOUD_FORMATION, TERRAFORM"
EFS should be encrypted at rest,MEDIUM,AWS,elasticFileSystem,"CLOUD, TERRAFORM, CLOUD_FORMATION"
AppSync API should not allow authentication using an API key,MEDIUM,AWS,appsync#apis,"CLOUD, TERRAFORM"
VPC Peering DNS resolution from accepter and requester VPC to private IP should be enabled,MEDIUM,AWS,vpcPeering,CLOUD
LightSail instance should not allow access from all IP addresses,MEDIUM,AWS,lightsail#Instance,CLOUD
"LightSail instance should not allow access from all IP addresses, excluding HTTP/S ports",MEDIUM,AWS,lightsail#Instance,CLOUD
RDS instance administrator username should be custom,MEDIUM,AWS,"rds/MSSQLServer/instance, rds/MariaDB/instance, rds/PostgreSQL/instance, rds/AmazonAuroraMySQL/instance, rds/Cluster/MySQL/instance, rds/Cluster/PostgreSQL/instance, rds/Oracle/instance, rds/MySQL/instance, rds/AmazonAuroraPostgreSQL/instance","CLOUD, TERRAFORM"
Redshift Serverless Workgroup should be encrypted in-transit,MEDIUM,AWS,redshiftserverless#workgroup,"CLOUD, TERRAFORM"
Expired IAM certificates should be removed,LOW,AWS,iam#servercertificate,"CLOUD, TERRAFORM"
LightSail instance should restrict SSH access (port 22),HIGH,AWS,lightsail#Instance,CLOUD
ElastiCache (Redis OSS) cluster automatic backups should be enabled,MEDIUM,AWS,elastiCache/Redis/cluster,"CLOUD, TERRAFORM"
CloudTrail trail should be configured with management events,LOW,AWS,cloudtrail,"CLOUD, TERRAFORM"
Default EC2 Launch Template network interfaces should not be assigned public IPs,MEDIUM,AWS,launchtemplate,"CLOUD, TERRAFORM"
DMS Replication Instance certificate should not be expired,MEDIUM,AWS,dms#rep,CLOUD
Redshift cluster SSL mode should be enabled,MEDIUM,AWS,redshift,"CLOUD, TERRAFORM"
SageMaker Notebook instance root access should be disabled,MEDIUM,AWS,sagemaker#notebookinstanceupdated,"CLOUD, TERRAFORM"
ECS Task Definition should not be configured to share a host process ID namespace,MEDIUM,AWS,taskDefinition,"CLOUD, TERRAFORM"
Database instance multi-availability zone should be enabled,MEDIUM,AWS,"rds/MySQL/instance, rds/Cluster/MySQL/instance, rds/Oracle/instance, rds/PostgreSQL/instance, rds/Cluster/PostgreSQL/instance, rds/MariaDB/instance","CLOUD, CLOUD_FORMATION, TERRAFORM"
DMS Replication Instance should use Multi-AZ deployment,MEDIUM,AWS,dms#rep,"CLOUD, TERRAFORM"
RDS Cluster automated backups should be enabled and have an adequate retention period,MEDIUM,AWS,"clusterpg, rds/AmazonAuroraPostgreSQL/cluster, rds/MySQL/cluster, rds/AmazonAuroraMySQL/cluster","CLOUD, TERRAFORM"
S3 Access Point block public access should be enabled,HIGH,AWS,s3AccessPoint,CLOUD
DMS Endpoints should use SSL,MEDIUM,AWS,dms#rep,"CLOUD, TERRAFORM"
RDS Instance automated backups should be enabled and have an adequate retention period,MEDIUM,AWS,"rds/AmazonAuroraMySQL/instance, rds/AmazonAuroraPostgreSQL/instance, rds/MSSQLServer/instance, rds/MySQL/instance, rds/Cluster/MySQL/instance, rds/Oracle/instance, rds/PostgreSQL/instance, rds/Cluster/PostgreSQL/instance, rds/MariaDB/instance","CLOUD, TERRAFORM"
WorkSpace should have access control restrictions,MEDIUM,AWS,workspaces#workspace,"CLOUD, TERRAFORM"
Database instance IAM authentication should be enabled,MEDIUM,AWS,"rds/MariaDB/instance, rds/MySQL/instance, rds/Cluster/MySQL/instance, rds/PostgreSQL/instance, rds/Cluster/PostgreSQL/instance","CLOUD, ANSIBLE, TERRAFORM, CLOUD_FORMATION"
RDS SQL database instance transport encryption should be enabled,MEDIUM,AWS,"rds/MSSQLServer/instance, rds/PostgreSQL/instance, rds/Cluster/PostgreSQL/instance, rds/MySQL/instance","CLOUD, TERRAFORM"
DMS Replication Instance should not be publicly accessible,HIGH,AWS,dms#rep,"CLOUD, TERRAFORM, CLOUD_FORMATION"
CodeBuild project should have logging enabled,MEDIUM,AWS,codebuild#project,"CLOUD, TERRAFORM"
Route 53 domain auto renew should be enabled,MEDIUM,AWS,domain,"CLOUD, TERRAFORM"
KMS key policy should not allow access to all principals,MEDIUM,AWS,resourcePolicy,"CLOUD, CLOUD_FORMATION"
WorkSpace user volume should be encrypted,MEDIUM,AWS,workspaces#workspace,"CLOUD, CLOUD_FORMATION, TERRAFORM"
Lambda Layer should not be attached from an unrecognized AWS account,HIGH,AWS,lambda,CLOUD
VPC peering communication should be only between AWS VPCs who are members of the same AWS account,LOW,AWS,vpcPeering,CLOUD
SNS Topic policy should not be overly permissive for administrative actions,MEDIUM,AWS,sns,"CLOUD, TERRAFORM"
WorkSpace volumes should be encrypted,MEDIUM,AWS,workspaces#workspace,"CLOUD, TERRAFORM"
Lightsail Instance should not use the default SSH key,MEDIUM,AWS,lightsail#Instance,CLOUD
WorkSpace should not be unused for more than 30 days ,LOW,AWS,workspaces#workspace,CLOUD
Amazon MQ broker should publish logs to Amazon CloudWatch Logs,MEDIUM,AWS,mq#broker,"CLOUD, CLOUD_FORMATION, TERRAFORM"
EKS Cluster Kubernetes version reaching end of life within 90 days should be upgraded,LOW,AWS,cluster,CLOUD
DynamoDB Table Replica should be encrypted with a customer-managed key,MEDIUM,AWS,dynamoDB/table,"CLOUD, TERRAFORM"
SSM document should not be public,HIGH,AWS,ssm#document,CLOUD
Aurora MySQL cluster backtracking should be enabled,MEDIUM,AWS,rds/AmazonAuroraMySQL/cluster,"CLOUD, TERRAFORM"
RDS Aurora MySQL Cluster should be encrypted in-transit,MEDIUM,AWS,rds/AmazonAuroraMySQL/cluster,"CLOUD, TERRAFORM"
Lightsail Instance automatic snapshots should be enabled,MEDIUM,AWS,lightsail#Instance,CLOUD
Elastic Beanstalk Application environment should have managed platform updates enabled,MEDIUM,AWS,elasticbeanstalk#application,"CLOUD, TERRAFORM"
EKS Cluster Kubernetes version is on extended support,INFORMATIONAL,AWS,cluster,CLOUD
LightSail instance should not have a public IP address,MEDIUM,AWS,lightsail#Instance,CLOUD
CodeDeploy Deployment Group automatic deployment rollback and deployment monitoring with alarms should be configured,MEDIUM,AWS,codedeploy#deploymentgroup,CLOUD
WorkSpace root volume should be encrypted,MEDIUM,AWS,workspaces#workspace,"CLOUD, TERRAFORM"
EKS Cluster Kubernetes version should not reach end of standard support,LOW,AWS,cluster,"CLOUD, TERRAFORM"
Private CA root certificate should be disabled,MEDIUM,AWS,acmpca#certificateauthority,"CLOUD, TERRAFORM"
Aurora MySQL Cluster Activity Stream should be enabled,MEDIUM,AWS,rds/AmazonAuroraMySQL/cluster,"CLOUD, TERRAFORM"
Redshift cluster should be encrypted with a customer-managed key,MEDIUM,AWS,redshift,"CLOUD, CLOUD_FORMATION, TERRAFORM"
Database instance deletion protection should be enabled,MEDIUM,AWS,"rds/AmazonNeptune/instance, rds/MSSQLServer/instance, rds/MySQL/instance, rds/Cluster/MySQL/instance, rds/Oracle/instance, rds/PostgreSQL/instance, rds/Cluster/PostgreSQL/instance, rds/MariaDB/instance","CLOUD, TERRAFORM, CLOUD_FORMATION"
S3 Bucket Account level 'Block Public Access' setting should block access through new ACLs,MEDIUM,AWS,account,CLOUD
RDS cluster administrator username should be custom,MEDIUM,AWS,"rds/MSSQLServer/cluster, clusterpg, rds/AmazonAuroraMySQL/cluster, rds/AmazonAuroraPostgreSQL/cluster, rds/MySQL/cluster","CLOUD, TERRAFORM"
Aurora MySQL cluster should publish audit logs to CloudWatch,LOW,AWS,rds/AmazonAuroraMySQL/cluster,"CLOUD, TERRAFORM"
Apache Airflow Environment should be encrypted with a customer-managed key ,MEDIUM,AWS,mwaa#environment,CLOUD
S3 Bucket Account level 'Block Public Access' setting should block access through any ACLs,MEDIUM,AWS,account,"CLOUD, TERRAFORM"
CloudSearch Domain should be configured with HTTPS,MEDIUM,AWS,cloudSearch#domain,"CLOUD, TERRAFORM"
Elastic Beanstalk Application environment should capture load balancer access logs,MEDIUM,AWS,elasticbeanstalk#application,"CLOUD, TERRAFORM"
CodeBuild project environment should have privileged mode disabled,HIGH,AWS,codebuild#project,"CLOUD, TERRAFORM"
Amazon MQ broker should be encrypted with a customer-managed key,MEDIUM,AWS,mq#broker,"CLOUD, CLOUD_FORMATION, TERRAFORM"
OpenSearch (ElasticSearch) domain audit logs should be enabled,LOW,AWS,elasticSearchService,"CLOUD, TERRAFORM"
WebSocket API Gateway routes should request validation,MEDIUM,AWS,apiGatewayv2,CLOUD
DynamoDB VPC Gateway Endpoints,INFORMATIONAL,AWS,vpcEndpoint,CLOUD
Amazon MQ ActiveMQ broker audit logs should be published to CloudWatch,LOW,AWS,mq#broker,"CLOUD, TERRAFORM"
